ip,hostname,mac,vendor,device_type,classification_confidence,security_score,manufacturer,model,open_ports
192.168.100.2,192.168.100.2,68:6d:bc:79:04:bf,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.3,192.168.100.3,f8:4d:fc:32:76:23,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.4,192.168.100.4,f8:4d:fc:2e:1c:c8,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.5,192.168.100.5,68:6d:bc:79:04:b8,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.6,192.168.100.6,68:6d:bc:79:04:2e,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.7,192.168.100.7,5c:34:5b:eb:54:70,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.8,192.168.100.8,98:df:82:57:d4:7d,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.9,192.168.100.9,08:a1:89:e2:a9:ce,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.10,192.168.100.10,08:a1:89:e2:aa:24,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.11,192.168.100.11,08:a1:89:e2:aa:21,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.12,192.168.100.12,08:a1:89:e2:a9:93,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.13,192.168.100.13,08:a1:89:e2:aa:07,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.14,192.168.100.14,08:a1:89:e2:ab:91,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.15,192.168.100.15,08:a1:89:e2:aa:37,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.16,192.168.100.16,08:a1:89:e2:a9:f7,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.17,192.168.100.17,08:a1:89:e2:a9:9e,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.18,192.168.100.18,08:a1:89:e2:a9:9d,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.19,192.168.100.19,08:a1:89:e2:aa:22,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.20,192.168.100.20,08:a1:89:e2:a9:99,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.21,192.168.100.21,08:a1:89:e2:a9:a1,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.22,192.168.100.22,08:a1:89:e2:a9:ba,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.23,192.168.100.23,08:a1:89:e2:a9:ab,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.24,192.168.100.24,08:a1:89:e2:aa:e2,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.25,192.168.100.25,08:a1:89:e2:a9:8e,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.26,192.168.100.26,08:a1:89:e2:a8:7e,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.27,192.168.100.27,08:a1:89:e2:a9:f6,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.28,192.168.100.28,08:a1:89:e2:a9:bc,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.29,192.168.100.29,3c:2a:f4:8b:98:8e,"Brother Industries, LTD.",Stampante,0.61,100,Brother,Brother MFC-L3730CDN series,80 443 515 631 9100
192.168.100.30,192.168.100.30,08:a1:89:e2:a9:b2,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.31,192.168.100.31,08:a1:89:e2:aa:f6,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.32,192.168.100.32,40:ac:bf:b5:b5:4d,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.33,192.168.100.33,80:7c:62:4f:3f:67,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.34,192.168.100.34,40:ac:bf:b5:b6:24,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.35,192.168.100.35,80:7c:62:4f:3f:9f,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.36,192.168.100.36,80:7c:62:4f:43:bf,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.37,192.168.100.37,40:ac:bf:b5:b7:2f,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.38,192.168.100.38,80:7c:62:4f:43:3e,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.40,192.168.100.40,80:7c:62:4f:40:e4,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.41,192.168.100.41,80:7c:62:4f:43:0d,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.42,192.168.100.42,80:7c:62:4f:3f:8e,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.43,192.168.100.43,80:7c:62:4f:43:71,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.44,192.168.100.44,80:7c:62:4f:43:1e,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.45,192.168.100.45,54:8c:81:5f:c4:43,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.46,192.168.100.46,80:7c:62:4f:41:a1,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.47,192.168.100.47,80:7c:62:4f:42:f6,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.48,192.168.100.48,80:7c:62:4f:42:f1,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.49,192.168.100.49,80:7c:62:4f:43:bd,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.50,192.168.100.50,b4:22:00:d0:02:c9,"Brother Industries, LTD.",Stampante,0.61,100,Brother,Brother DCP-L5500DN series,80 443 515 631 9100
192.168.100.51,192.168.100.51,3c:2a:f4:db:d2:45,"Brother Industries, LTD.",Stampante,0.61,100,Brother,Brother MFC-L3730CDN series,80 443 515 631 9100
192.168.100.52,192.168.100.52,80:7c:62:4f:43:be,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.53,192.168.100.53,80:7c:62:4f:42:cc,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.55,192.168.100.55,b4:22:00:db:c8:08,"Brother Industries, LTD.",Stampante,0.61,100,Brother,Brother MFC-L5750DW series,80 443 515 631 9100
192.168.100.58,192.168.100.58,80:7c:62:4f:40:f3,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.59,192.168.100.59,80:7c:62:4f:40:79,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.60,192.168.100.60,80:7c:62:4f:3f:87,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.61,192.168.100.61,80:7c:62:4f:43:27,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.62,192.168.100.62,80:7c:62:4f:41:80,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.63,192.168.100.63,80:7c:62:4f:43:14,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.100,192.168.100.100,6c:2b:59:b6:f7:a1,Dell Inc.,unknown,0.0,100,Dell,,
192.168.100.101,192.168.100.101,6c:2b:59:b6:f7:a7,Dell Inc.,PC Windows,0.65,77,Dell,,135 139 445 3389
192.168.100.102,192.168.100.102,00:15:5d:ea:71:00,Microsoft Corporation,PC Windows,0.48,77,Microsoft,,53 135 139 445 3389
192.168.100.103,192.168.100.103,44:a6:42:88:d8:9e,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443 8443
192.168.100.104,192.168.100.104,44:a6:42:88:d8:a0,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443 8443
192.168.100.105,192.168.100.105,80:7c:62:52:2b:cb,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.106,192.168.100.106,40:ac:bf:b5:b5:5e,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.107,192.168.100.107,80:7c:62:52:2b:e6,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.108,192.168.100.108,40:ac:bf:b5:b5:b0,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.114,192.168.100.114,08:a1:89:05:a1:e9,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,1.0,100,Hikvision,,
192.168.100.119,192.168.100.119,40:ac:bf:b5:b5:6b,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.120,192.168.100.120,08:a1:89:e2:a9:74,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.121,192.168.100.121,40:ac:bf:b5:b5:6d,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.122,192.168.100.122,40:ac:bf:b5:b5:6a,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.125,192.168.100.125,94:dd:f8:91:4b:88,"Brother Industries, LTD.",Stampante,0.61,100,Brother,Brother MFC-L2922DW,80 443 515 631 9100
192.168.100.126,192.168.100.126,cc:96:e5:1f:7a:3f,Dell Inc.,PC Windows,0.65,92,Dell,,135 139 445
192.168.100.127,192.168.100.127,e8:9c:25:22:87:f0,ASUSTek COMPUTER INC.,PC Windows,1.0,100,ASUSTek COMPUTER INC.,,135
192.168.100.128,192.168.100.128,80:7c:62:16:1e:20,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,1.0,100,Hikvision,,
192.168.100.129,192.168.100.129,40:ac:bf:b5:b6:42,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,1.0,100,Hikvision,,
192.168.100.130,192.168.100.130,3c:49:37:05:e1:ab,ASSMANN Electronic GmbH,Stampante,0.46,72,ASSMANN Electronic GmbH,ZOT-PS-56/9.9.9033,23 80 139 515 9100
192.168.100.131,192.168.100.131,b4:22:00:99:bc:6d,"Brother Industries, LTD.",Stampante,0.61,100,Brother,Brother MFC-B7715DW series,80 443 515 631 9100
192.168.100.133,192.168.100.133,40:ac:bf:b5:b5:79,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,1.0,100,Hikvision,,
192.168.100.137,192.168.100.137,14:ac:60:13:58:12,CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.,Stampante,0.61,100,Brother,Brother HL-L2442DW,80 443 515 631 9100
192.168.100.146,192.168.100.146,b4:22:00:c4:40:b0,"Brother Industries, LTD.",Stampante,0.61,100,Brother,Brother DCP-L5500DN series,80 443 515 631 9100
192.168.100.147,192.168.100.147,00:41:0e:2d:26:03,CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.,Stampante,0.61,100,Brother,Brother DCP-B7520DW series,80 443 515 631 9100
192.168.100.148,192.168.100.148,80:ce:62:5b:39:ad,Hewlett Packard,Stampante,0.68,100,Hewlett Packard,,80 443 515 631 9100
192.168.100.149,192.168.100.149,94:dd:f8:6b:34:8a,"Brother Industries, LTD.",Stampante,0.61,100,Brother,Brother HL-L6210DW series,80 443 515 631 9100
192.168.100.162,192.168.100.162,ac:e2:d3:46:13:47,Hewlett Packard,Stampante,0.61,100,HP,HP LaserJet MFP M426fdw 192.168.100.162,80 443 515 631 8080 9100
192.168.100.169,192.168.100.169,44:a6:42:88:d9:69,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443 8443
192.168.100.170,192.168.100.170,cc:5e:f8:30:54:7f,CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.,Stampante,0.61,100,Brother,Brother MFC-L2710DW series,80 443 515 631 9100
192.168.100.171,192.168.100.171,3c:0a:f3:f3:e6:6d,CLOUD NETWORK TECHNOLOGY SINGAPORE PTE. LTD.,Stampante,0.61,100,Brother,Brother DCP-B7620DW,80 443 515 631 9100
192.168.100.172,192.168.100.172,3c:2a:f4:95:5a:bf,"Brother Industries, LTD.",Stampante,0.61,100,Brother,Brother MFC-L6900DW series,80 443 515 631 9100
192.168.100.179,192.168.100.179,08:a1:89:e2:aa:47,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.182,192.168.100.182,44:a6:42:88:d9:26,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443 8443
192.168.100.186,192.168.100.186,40:ac:bf:b5:b5:ae,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.187,192.168.100.187,68:6d:bc:79:04:11,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.188,192.168.100.188,40:ac:bf:b5:b5:60,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.191,192.168.100.191,34:64:a9:6f:f1:be,Hewlett Packard,Stampante,0.61,80,HP,HP LaserJet 400 MFP M425dw 192.168.100.191,23 80 443 515 631 8080 9100
192.168.100.194,192.168.100.194,90:2b:34:43:d3:77,"GIGA-BYTE TECHNOLOGY CO.,LTD.",PC Windows,0.65,77,"GIGA-BYTE TECHNOLOGY CO.,LTD.",,135 139 445 3389
192.168.100.199,192.168.100.199,40:ac:bf:b5:b5:ba,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.200,192.168.100.200,3c:1b:f8:69:5b:de,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,1.0,100,Hikvision,,
192.168.100.208,192.168.100.208,40:ac:bf:b5:b5:b9,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.211,192.168.100.211,ac:b9:2f:8d:86:25,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.220,192.168.100.220,08:8f:c3:be:fc:97,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",PC Windows,0.65,92,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",,135 139 445
192.168.100.236,192.168.100.236,64:db:8b:36:88:ee,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.237,192.168.100.237,64:db:8b:36:89:bf,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,1.0,100,Hikvision,,
192.168.100.238,192.168.100.238,64:db:8b:36:89:d3,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,1.0,100,Hikvision,,
192.168.100.239,192.168.100.239,64:db:8b:36:89:a5,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,1.0,100,Hikvision,,
192.168.100.240,192.168.100.240,b4:a3:82:d6:4c:7b,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,1.0,100,Hikvision,,
192.168.100.247,192.168.100.247,64:db:8b:41:27:0c,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,1.0,100,Hikvision,,
192.168.100.248,192.168.100.248,64:db:8b:41:27:8b,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,1.0,100,Hikvision,,
192.168.100.249,192.168.100.249,64:db:8b:41:27:c5,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,1.0,100,Hikvision,,
